time_s,value
0.015875,0.018516
0.015896,-0.019847
0.015917,-0.080276
0.015937,-0.113634
0.015958,-0.064049
0.015979,-0.120641
0.016000,-0.119234
0.016021,-0.190528
0.016042,-0.215374
0.016062,-0.257443
0.016083,-0.304337
0.016104,-0.316845
0.016125,-0.368385
0.016146,-0.362072
0.016167,-0.420651
0.016188,-0.408296
0.016208,-0.448253
0.016229,-0.457717
0.016250,-0.505720
0.016271,-0.566437
0.016292,-0.536572
0.016313,-0.609866
0.016333,-0.671172
0.016354,-0.819008
0.016375,-0.905529
0.016396,-1.002773
0.016417,-1.097179
0.016438,-1.192454
0.016458,-1.333371
0.016479,-1.419440
0.016500,-1.567302
0.016521,-1.623561
0.016542,-1.725397
0.016562,-1.753780
0.016583,-1.787390
0.016604,-1.855630
0.016625,-1.842515
0.016646,-1.872252
0.016667,-1.870485
0.016687,-1.958931
0.016708,-1.977250
0.016729,-2.005576
0.016750,-2.017450
0.016771,-2.059838
0.016792,-2.157151
0.016812,-2.188123
0.016833,-2.268632
0.016854,-2.240071
0.016875,-2.271776
0.016896,-2.255210
0.016917,-2.232859
0.016937,-2.238944
0.016958,-2.199987
0.016979,-2.165340
0.017000,-2.051427
0.017021,-2.023106
0.017042,-1.937490
0.017063,-1.880531
0.017083,-1.782723
0.017104,-1.715607
0.017125,-1.715674
0.017146,-1.652704
0.017167,-1.646612
0.017188,-1.546267
0.017208,-1.522475
0.017229,-1.497448
0.017250,-1.491820
0.017271,-1.479720
0.017292,-1.450807
0.017313,-1.451279
0.017333,-1.370951
0.017354,-1.381919
0.017375,-1.355487
0.017396,-1.388771
0.017417,-1.354066
0.017438,-1.305296
0.017458,-1.310138
0.017479,-1.260327
0.017500,-1.265332
0.017521,-1.190268
0.017542,-1.178414
0.017562,-1.161847
0.017583,-1.198113
0.017604,-1.196314
0.017625,-1.168375
0.017646,-1.199477
0.017667,-1.176148
0.017687,-1.240226
0.017708,-1.248052
0.017729,-1.325561
0.017750,-1.338594
0.017771,-1.308413
0.017792,-1.310719
0.017812,-1.283468
0.017833,-1.299742
0.017854,-1.223908
0.017875,-1.174172
0.017896,-1.058249
0.017917,-1.005070
0.017938,-0.916734
0.017958,-0.787099
0.017979,-0.714877
0.018000,-0.612472
0.018021,-0.603864
