time_s,dur_5_ms,dur_25_ms,dur_100_ms,dur_250_ms
0.009625,1.000000,0.385833,0.096458,0.038583
0.009646,1.000000,0.386666,0.096667,0.038667
0.009667,1.000000,0.387500,0.096875,0.038750
0.009688,1.000000,0.388333,0.097083,0.038833
0.009708,1.000000,0.389166,0.097292,0.038917
0.009729,1.000000,0.390000,0.097500,0.039000
0.009750,1.000000,0.390833,0.097708,0.039083
0.009771,1.000000,0.391666,0.097917,0.039167
0.009792,1.000000,0.392500,0.098125,0.039250
0.009813,1.000000,0.393333,0.098333,0.039333
0.009833,1.000000,0.394166,0.098542,0.039417
0.009854,1.000000,0.395000,0.098750,0.039500
0.009875,1.000000,0.395833,0.098958,0.039583
0.009896,1.000000,0.396666,0.099167,0.039667
0.009917,1.000000,0.397500,0.099375,0.039750
0.009937,1.000000,0.398333,0.099583,0.039833
0.009958,1.000000,0.399166,0.099792,0.039917
0.009979,1.000000,0.400000,0.100000,0.040000
0.010000,1.000000,0.400833,0.100208,0.040083
0.010021,1.000000,0.401666,0.100417,0.040167
0.010042,1.000000,0.402500,0.100625,0.040250
0.010062,1.000000,0.403333,0.100833,0.040333
0.010083,1.000000,0.404166,0.101042,0.040417
0.010104,1.000000,0.405000,0.101250,0.040500
0.010125,1.000000,0.405833,0.101458,0.040583
0.010146,1.000000,0.406666,0.101667,0.040667
0.010167,1.000000,0.407500,0.101875,0.040750
0.010188,1.000000,0.408333,0.102083,0.040833
0.010208,1.000000,0.409166,0.102292,0.040917
0.010229,1.000000,0.410000,0.102500,0.041000
0.010250,1.000000,0.410833,0.102708,0.041083
0.010271,1.000000,0.411666,0.102917,0.041167
0.010292,1.000000,0.412500,0.103125,0.041250
0.010313,1.000000,0.413333,0.103333,0.041333
0.010333,1.000000,0.414166,0.103542,0.041417
0.010354,1.000000,0.415000,0.103750,0.041500
0.010375,1.000000,0.415833,0.103958,0.041583
0.010396,1.000000,0.416666,0.104167,0.041667
0.010417,1.000000,0.417500,0.104375,0.041750
0.010437,1.000000,0.418333,0.104583,0.041833
0.010458,1.000000,0.419166,0.104792,0.041917
0.010479,1.000000,0.420000,0.105000,0.042000
0.010500,1.000000,0.420833,0.105208,0.042083
